YEAR,WINNER,UTAH,BYU,NOTES
2017,UTAH,19,13,Huntley 389 yards offense
2016,UTAH,20,19,6 turnovers stop 2 point conversion
2015,UTAH,35,28,LV bowl. Utah up 35-0 in 1Q
2013,UTAH,20,13,No PI/Taysum Hill
2012,UTAH,24,21,Triple field rush
2011,UTAH,54,10,Heaps fumbles 7 turnovers
2010,UTAH,17,16,Burton blocks field goal
2009,BYU,23,26,George catches game winner
2008,UTAH,48,24,Max Hall 5 turnovers Paul Kruger interception
2007,BYU,10,17,Max Hall classless 4th and 18
2006,BYU,31,33,Beck to Harline
2005,UTAH,41,34,Ratliff goes wild
2004,UTAH,52,21,Utah Fiesta Bowl
2003,UTAH,3,0,Snow bowl shutout
2002,UTAH,13,6,Beck goal line fumble
2001,BYU,21,24,Staley option Rice interception
2000,BYU,27,34,LaVell retires 4th and 22
1999,UTAH,20,17,BYU fan attacks cheerleader over flag
1998,BYU,24,26,Kaneshiro doink
1997,UTAH,20,14,
1996,BYU,17,37,
1995,UTAH,34,17,
1994,UTAH,34,31,
1993,UTAH,34,31,Yergensen 55 yards
1992,BYU,22,31,
1991,BYU,17,48,
1990,BYU,22,45,
1989,BYU,31,70,
1988,UTAH,57,28,Scott Mitchell
1987,BYU,18,21,
1986,BYU,21,35,
1985,BYU,28,38,
1984,BYU,14,24,
1983,BYU,7,55,
1982,BYU,12,17,
1981,BYU,28,56,
1980,BYU,6,56,
1979,BYU,0,27,
1978,UTAH,23,22,
1977,BYU,8,38,
1976,BYU,12,34,
1975,BYU,20,51,
1974,BYU,20,48,
1973,BYU,22,46,
1972,BYU,7,16,
1971,UTAH,17,15,
1970,UTAH,14,13,
1969,UTAH,16,6,
1968,UTAH,30,21,
1967,BYU,13,17,
1966,BYU,13,35,
1965,BYU,20,25,
1964,UTAH,47,13,
1963,UTAH,15,6,
1962,UTAH,35,20,
1961,UTAH,21,20,
1960,UTAH,17,0,
1959,UTAH,20,8,
1958,BYU,7,14,
1957,UTAH,27,0,
1956,UTAH,41,6,
1955,UTAH,41,9,
1954,UTAH,12,7,
1953,UTAH,33,32,
1952,UTAH,34,6,
1951,UTAH,7,6,
1950,TIE,28,28,
1949,UTAH,38,0,
1948,UTAH,30,0,
1947,UTAH,28,6,
1946,UTAH,35,6,
1942,BYU,7,12,
1941,TIE,6,6,
1940,UTAH,12,7,
1939,UTAH,35,13,
1938,TIE,7,7,
1937,UTAH,14,0,
1936,UTAH,18,0,
1935,UTAH,32,0,
1934,UTAH,43,0,
1933,UTAH,21,6,
1932,UTAH,29,0,
1931,UTAH,43,0,
1930,UTAH,34,7,
1929,UTAH,45,13,
1928,TIE,0,0,
1927,UTAH,20,0,
1926,UTAH,40,7,
1925,UTAH,27,0,
1924,UTAH,35,6,
1923,UTAH,15,0,
1922,UTAH,49,0,
1898,UTAH,5,0,
1897,BYA,0,14,
1897,BYA,0,22,
1896,UTAH,6,0,
1896,BYA,6,8,
1896,UTAH,12,4,